A0A1P8B415	1	66	N-terminal
A0A1P8B415	306	525	middle
A4FVP2	1	34	N-terminal
F4I316	1	292	N-terminal
F4I316	415	496	middle
F4IB81	191	325	middle
F4IRU3	1071	1134	middle
F4IRU3	1221	1270	middle
F4IRU3	1517	1556	C-terminal
F4J9Q6	102	392	middle
F4JN22	193	249	middle
F4JRR2	1	90	N-terminal
F4JRR2	236	284	middle
F4JRR2	423	483	middle
F4JRR2	1055	1122	C-terminal
F4JTS9	1	58	N-terminal
F4K4Y5	1	331	N-terminal
F4K4Y5	472	689	middle
F4K4Y5	741	778	C-terminal
F4KAN9	253	288	middle
F4KAN9	352	391	C-terminal
F4KGY0	1	74	N-terminal
O64583	1	78	N-terminal
O64764	1	84	N-terminal
O65570	732	934	middle
O82236	1	36	N-terminal
P20115	1	31	N-terminal
P42753	1	50	N-terminal
P42753	295	376	C-terminal
P46286	201	258	C-terminal
Q0WP38	1	127	N-terminal
Q1PF35	1	212	IDP
Q2V370	1	35	N-terminal
Q5PP12	1	69	IDP
Q6XJG8	1	42	N-terminal
Q6XL73	361	414	C-terminal
Q7XA66	93	242	C-terminal
Q84JH2	145	321	middle
Q84JH2	394	458	C-terminal
Q84K72	128	170	middle
Q8GUM2	1	53	N-terminal
Q8GUM2	638	682	C-terminal
Q8L9H6	1	99	IDP
Q8LAF9	1	113	N-terminal
Q8LAF9	153	202	C-terminal
Q8RXJ5	1	51	N-terminal
Q8RXJ5	132	202	middle
Q8RXT2	180	732	C-terminal
Q8VZW1	1	40	N-terminal
Q940Y9	1	126	N-terminal
Q949X1	1	196	N-terminal
Q9ASQ2	1	31	N-terminal
Q9ASQ2	83	157	middle
Q9C5H4	131	261	middle
Q9C5H4	366	690	C-terminal
Q9C6G7	100	163	middle
Q9CAA6	1	46	N-terminal
Q9FVQ1	1	297	N-terminal
Q9FVQ1	476	557	C-terminal
Q9LDH1	1	151	IDP
Q9LNP6	1	168	N-terminal
Q9LNP6	213	328	C-terminal
Q9LS03	1	82	N-terminal
Q9LUZ5	1	100	N-terminal
Q9LUZ5	286	353	middle
Q9LUZ5	422	457	middle
Q9LUZ5	517	622	middle
Q9LUZ5	1020	1095	C-terminal
Q9LVR0	1	76	N-terminal
Q9LVR0	175	228	C-terminal
Q9LZ08	1	214	IDP
Q9M1G5	1	62	N-terminal
Q9S756	1	70	N-terminal
Q9S7Z8	185	475	middle
Q9SCU5	406	549	C-terminal
Q9SH30	1	47	N-terminal
Q9SN99	1	81	N-terminal
Q9SVJ5	1	280	IDP
Q9SZH8	1	50	N-terminal
Q9SZR5	434	765	middle
Q9XF89	1	55	N-terminal
Q9ZQI0	1	761	IDP
Q9ZVI9	1	52	N-terminal
Q9ZVI9	197	233	middle
A0A1I9LN10	1	57	N-terminal
A0A1P8B6J1	1	32	N-terminal
A0A1P8BBR6	1	123	N-terminal
A0A1P8BBR6	452	493	C-terminal
A8MRC1	571	610	C-terminal
B3H4D2	1	75	IDP
F4HWT1	1	117	IDP
F4HYR3	716	778	C-terminal
F4HZU9	1	51	N-terminal
F4I8M5	1	89	N-terminal
