 D3NQ26	471	491
 Q87TZ7	117	161
 Q87U48	1	105
 Q87U88	1	27
 Q87U88	277	291
 Q87UG8	1	23
 Q87VE4	1	41
 Q87VQ0	1	26
 Q87VQ0	404	421
 Q87WE9	549	563
 Q87WI3	1	14
 Q87WV8	371	386
 Q87X69	268	319
 Q87X69	401	433
 Q87X83	1	43
 Q87X83	103	133
 Q87XN5	63	83
 Q87XP7	88	183
 Q87XS6	1	26
 Q87Y66	52	64
 Q87YU3	276	293
 Q87Z44	1	26
 Q880V7	186	208
 Q880V7	259	281
 Q882H4	1	61
 Q882I0	234	246
 Q882Q2	248	333
 Q883L6	1	14
 Q885C9	1	16
 Q885H5	1	27
 Q885I6	1	108
 Q885J9	1	20
 Q886G2	1	17
 Q887A6	1	118
 Q887Q6	431	482
 Q887W8	1	229
 Q888G9	1	72
 Q888N2	1	53
 Q889H8	1	16
 Q88A61	816	829
 Q88AA6	1	20
 Q88AK2	1	33
 Q88AS4	159	174
 Q88B05	1	20
 Q88BJ9	1	25
 Q87UU3	1	54
 Q87UY5	244	266
 Q87VS0	1	32
 Q87VW8	1	55
 Q87W96	1	30
 Q87X12	1	36
 Q87XM9	201	222
 Q87XM9	277	291
 Q87XQ9	1	130
 Q87XQ9	303	381
 Q87YE9	1	34
 Q87YW9	1	40
 Q87ZM2	1	32
 Q880B4	1	23
 Q880H3	497	509
 Q880H8	1	27
 Q880Q8	1	40
 Q880X5	1	19
 Q881K3	1	81
 Q881N8	1	32
 Q882E4	1	118
 Q883K9	1	25
 Q883N8	1	31
 Q883N8	462	507
 Q883V1	1	22
 Q884D6	1	44
 Q884D6	245	265
 Q884F0	1	21
 Q884Z3	1	22
 Q884Z3	107	246
 Q886J2	386	453
 Q886J9	1	26
 Q886X3	1	38
 Q887B3	1	61
 Q887D6	1	23
 Q887N9	1	20
 Q887N9	153	220
 Q888F3	1	14
 Q888J2	1	28
 Q88A59	98	113
 Q88A59	459	514
 Q88A59	640	652
 Q88AN1	1	24
 Q88AN4	1	52
 Q88AQ9	715	773
 Q88AS2	1	22
 Q88BG4	403	443
 Q88BP8	1	72
 Q88BU7	1	91
 Q87UF0	1	124
 Q87UJ2	57	106
 Q87V27	1	41
 Q87VT4	1	33
 Q87VX5	64	116
 Q87VZ9	349	366
 Q87WI9	1	24
 Q87X55	1	33
 Q87Y40	1	24
 Q87Y49	1	42
 Q87YR6	1	16
 Q87YS8	213	259
 Q87ZB1	1	41
 Q87ZF3	104	126
 Q87ZZ3	318	336
 Q880D5	1	62
 Q880D5	106	131
 Q880U5	1	18
 Q881A0	1	39
 Q881T4	1	13
 Q881V8	1	44
 Q881X2	1	18
 Q881X2	269	296
 Q882M8	1	14
 Q882T0	1	16
 Q882Z6	86	103
 Q883G4	1	21
 Q883I2	1	42
 Q884Q9	1	73
 Q885C7	277	289
 Q886H6	1	39
 Q886S5	1	28
 Q886V3	344	458
 Q886V9	1	13
 Q887N6	1	25
 Q888D3	1	14
 Q888D3	616	639
 Q888D3	756	805
 Q888L8	1	15
 Q888L8	394	407
 Q889B2	1	73
 Q88A28	1	25
 Q88AN3	1	73
 Q88AN3	187	210
 Q88AV7	1	105
 Q88B53	1	26
 Q88BI7	171	459
 Q88BI7	672	746
 G3XDB4	1	50
 Q87TY6	1	346
 Q87UE8	1	92
 Q87UZ5	137	257
 Q87VB3	1	36
 Q87VD3	73	122
 Q87VD3	196	248
 Q87VP9	1	30
 Q87VP9	79	98
 Q87W62	1	13
 Q87WI8	1	23
 Q87WS7	256	281
 Q87X97	1	42
 Q87XW7	310	325
 Q87Y61	100	127
 Q87YM7	1	21
 Q87YR5	417	436
 Q87ZD9	1	22
 Q880E0	1	33
 Q880F7	1	20
 Q880I7	1	31
 Q880N3	1	13
 Q880N3	484	510
 Q880N8	87	101
 Q882Y5	1	24
 Q882Z4	608	662
 Q883A5	401	417
 Q883R3	1	13
 Q884C5	133	147
 Q884V3	130	201
 Q885R0	1	41
 Q885Y3	1	21
 Q886I8	1	40
 Q886L2	1	32
 Q886R9	42	63
 Q887X9	1	14
 Q888C7	188	203
 Q88AG5	1	44
 Q88AG5	474	497
 Q88AI4	1	16
 Q88AP5	1	46
 Q88AP6	1	27
 Q88AP6	276	291
 Q88B10	1	22
 Q88BD6	1	25
 Q88BT0	1	13
 Q88BT0	203	231
