IDR1,IDR2,E_value
Q87VW8_IDR_1_1_55,Q9FGQ9_IDR_1_1_80,0.4050554051095858
Q87VW8_IDR_1_1_55,Q9ZV43_IDR_1_1_80,2.353809203304544
Q87VW8_IDR_1_1_55,Q9ZV43_IDR_2_81_160,3.472235758529478
Q87VW8_IDR_1_1_55,Q9ZV43_IDR_3_161_240,2.2425150097405773
Q87VW8_IDR_1_1_55,Q9ZV43_IDR_4_241_320,3.577676179064377
Q87VW8_IDR_1_1_55,Q9ZV43_IDR_5_321_374,1.514230729263331
Q87VW8_IDR_1_1_55,Q8RX56_IDR_1_85_164,1.5054244121621654
Q87VW8_IDR_1_1_55,Q8RX56_IDR_2_165_244,3.1898374098859863
Q87VW8_IDR_1_1_55,Q9FIL6_IDR_1_1_80,2.6474167601502643
Q87VW8_IDR_1_1_55,Q9FIL6_IDR_2_81_160,2.46154722908525
Q87VW8_IDR_1_1_55,Q9LIK0_IDR_1_1_80,2.6064150884322594
Q87VW8_IDR_1_1_55,Q9SN77_IDR_1_86_138,4.8103392308411195
Q87VW8_IDR_1_1_55,A0A1P8BBX7_IDR_1_116_151,2.054109946274437
Q87VW8_IDR_1_1_55,Q1PDZ3_IDR_1_267_346,2.9873020873846308
Q87VW8_IDR_1_1_55,Q9SX80_IDR_1_1_80,0.19680796936617018
Q87VW8_IDR_1_1_55,Q6NLF1_IDR_1_1_80,2.474319319798359
Q87VW8_IDR_1_1_55,Q6NLF1_IDR_2_81_139,2.0485299478607013
Q87VW8_IDR_1_1_55,Q9C911_IDR_1_253_332,1.7331625207523604
Q87VW8_IDR_1_1_55,Q9C911_IDR_2_333_412,0.36397864604711927
Q87VW8_IDR_1_1_55,Q9C911_IDR_3_413_492,2.2332764653411807
Q87VW8_IDR_1_1_55,Q9C911_IDR_4_493_572,2.13525982181591
Q87VW8_IDR_1_1_55,Q9C911_IDR_5_573_630,4.2833333918121435
Q87VW8_IDR_1_1_55,Q9SE83_IDR_1_810_889,1.8077915028487554
Q87VW8_IDR_1_1_55,Q9SE97_IDR_1_1000_1051,2.9324979235052795
Q87VW8_IDR_1_1_55,Q9SRI3_IDR_1_283_319,1.1845903945090388
Q87VW8_IDR_1_1_55,F4JCU0_IDR_1_515_594,0.874758572959923
Q87VW8_IDR_1_1_55,F4JCU0_IDR_2_595_674,0.8790284523200835
Q87VW8_IDR_1_1_55,F4JCU0_IDR_3_675_754,3.2342899973597037
Q87VW8_IDR_1_1_55,F4JCU0_IDR_4_755_834,4.093755359017708
Q87VW8_IDR_1_1_55,F4JCU0_IDR_5_835_914,2.0957705557022788
Q87VW8_IDR_1_1_55,F4JCU0_IDR_6_915_994,1.9067065892810815
Q87VW8_IDR_1_1_55,Q9LRW3_IDR_1_86_143,3.3423587640316814
Q87VW8_IDR_1_1_55,Q9SZ06_IDR_1_1_80,1.3648893972503258
Q87VW8_IDR_1_1_55,Q9SZ06_IDR_2_81_141,2.429194524397821
Q87VW8_IDR_1_1_55,F4I7J9_IDR_1_964_1043,3.0403590084556287
Q87VW8_IDR_1_1_55,F4I7J9_IDR_2_1044_1080,1.3450540281056504
Q87VW8_IDR_1_1_55,Q9LTX9_IDR_1_563_642,3.705053153313308
Q87VW8_IDR_1_1_55,Q9LTX9_IDR_2_643_718,2.3793296042735292
Q87VW8_IDR_1_1_55,F4J389_IDR_1_125_172,2.4985180494191344
Q87VW8_IDR_1_1_55,Q9C9R6_IDR_1_1_80,1.5643347782455699
Q87VW8_IDR_1_1_55,Q9C9R6_IDR_2_81_160,1.042437383164735
Q87VW8_IDR_1_1_55,Q9C9R6_IDR_3_161_240,-0.17803998351708739
