 Q87UU1	1	40	IDR
 Q880Q7	196	214	IDR
 Q888P8	1	15	IDR
 Q87UG9	393	445	IDR
 Q884E2	1	59	IDR
 Q883A5	401	417	IDR
 Q87WM8	1733	1753	IDR
 Q87YA2	1	14	IDR
 Q87W28	1	13	IDR
 Q881W2	1	35	IDR
 Q88BH2	86	128	IDR
 Q885E0	1	20	IDR
 Q87X68	374	406	IDR
 Q87TS6	1	35	IDR
 Q888T8	1	13	IDR
 Q87VY2	90	108	IDR
 Q88BM5	1	69	IDR
 Q88BR3	276	288	IDR
 Q88BW5	1	47	IDR
 Q88BQ7	1	18	IDR
 Q881X8	408	444	IDR
 Q884P6	1	43	IDR
 Q87YB5	238	283	IDR
 Q886W4	1	54	IDR
 Q88AR6	1	20	IDR
 Q880Y5	1	48	IDR
 Q87YN1	387	471	IDR
 Q87YW9	1	40	IDR
 Q87X42	1	18	IDR
 Q87X11	127	164	IDR
 Q889L6	151	171	IDR
 Q885B1	67	84	IDR
 Q88BJ9	1	25	IDR
 D3NQ23	1	169	IDR
 Q87WL1	268	285	IDR
 Q87XX2	69	95	IDR
 Q87X52	1	14	IDR
 Q87Y91	112	158	IDR
 Q889Z0	1	113	IDR
 Q886L2	1	32	IDR
 Q881N3	127	165	IDR
 Q87VW4	1	29	IDR
 Q87YA5	1	41	IDR
 Q87W18	154	167	IDR
 Q885W2	1	23	IDR
 Q883B2	1	38	IDR
 Q889B3	1	27	IDR
 Q87ZW5	651	664	IDR
 Q87VS2	63	287	IDR
 Q88B05	1	20	IDR
 Q884H3	1	25	IDR
 Q88B20	1	25	IDR
 Q885Z2	1	18	IDR
 Q87YI4	1	136	IDR
 Q87XC4	586	607	IDR
 Q87WP1	70	121	IDR
 Q883Y9	214	230	IDR
 Q9F0H3	1	67	IDR
 Q87WI7	1	25	IDR
 Q883C2	1	26	IDR
 Q87ZN9	1	13	IDR
 Q87V70	1	20	IDR
 Q87VU4	1	70	IDR
 Q882M9	1	14	IDR
 Q885H3	138	163	IDR
 Q887Y0	1	52	IDR
 Q87XJ7	1	42	IDR
 Q88AC8	1	23	IDR
 Q888K5	1	170	IDR
 Q880D4	1	108	IDR
 Q885Y0	1	32	IDR
 Q87YE2	119	136	IDR
 Q887W3	1	75	IDR
 Q87YZ2	1	34	IDR
 Q87W77	128	213	IDR
 Q884V4	124	364	IDR
 Q881L9	233	509	IDR
 Q87YY5	1	139	IDR
 Q88BT0	203	231	IDR
 Q87YK5	62	86	IDR
 Q886X2	1	17	IDR
 Q87VH5	1	44	IDR
 Q87W31	194	212	IDR
 Q87XF6	1	21	IDR
 Q883L3	1	28	IDR
 Q87Y18	344	362	IDR
 Q87UL5	1	17	IDR
 Q88AV0	1	65	IDR
