IDR1,IDR2,E_value
AvrB1b_N-terminal_1_1_31,AvrB1b_N-terminal_1_1_31,1.6554586345186404
AvrB1b_N-terminal_1_1_31,Q8GYN5_IDP_1_1_80,0.5317946876688859
AvrB1b_N-terminal_1_1_31,Q8GYN5_IDP_2_81_160,0.7100626017439171
AvrB1b_N-terminal_1_1_31,Q8GYN5_IDP_3_161_211,0.8285305527469342
Q8GYN5_IDP_1_1_80,AvrB1b_N-terminal_1_1_31,1.3723733875326083
Q8GYN5_IDP_1_1_80,Q8GYN5_IDP_1_1_80,-1.1816406764612566
Q8GYN5_IDP_1_1_80,Q8GYN5_IDP_2_81_160,-0.7853631567870636
Q8GYN5_IDP_1_1_80,Q8GYN5_IDP_3_161_211,-0.300081438542378
Q8GYN5_IDP_2_81_160,AvrB1b_N-terminal_1_1_31,1.8324196174036569
Q8GYN5_IDP_2_81_160,Q8GYN5_IDP_1_1_80,-0.7853631567870636
Q8GYN5_IDP_2_81_160,Q8GYN5_IDP_2_81_160,0.34472631237981943
Q8GYN5_IDP_2_81_160,Q8GYN5_IDP_3_161_211,-0.09068874462352383
Q8GYN5_IDP_3_161_211,AvrB1b_N-terminal_1_1_31,1.3630663932288263
Q8GYN5_IDP_3_161_211,Q8GYN5_IDP_1_1_80,-0.1913019170707706
Q8GYN5_IDP_3_161_211,Q8GYN5_IDP_2_81_160,-0.057814074697496665
Q8GYN5_IDP_3_161_211,Q8GYN5_IDP_3_161_211,0.1569585492904082
